"s","mean_abs_error","mean_residual_ratio","mean_solution_error","mean_condition_number"
30,0.00455902136546665,1.73292679673896,0.0290630961688323,15.5809405276616
40,0.00485908547182063,1.41097468330133,0.0206836442459423,9.43171807536811
50,0.00340965683449208,1.30823514549109,0.0173233525168836,6.79219785577343
60,0.00316818416567142,1.21172284794864,0.0143101333082308,5.75734048532385
70,0.00330375122999012,1.18987937371851,0.0133827704282689,5.21230642709914
80,0.00292372066875674,1.18103985587871,0.0128977225037276,4.84310049067629
90,0.00299691786012043,1.13924792880549,0.0112311796596362,4.65400507839177
100,0.00304444002467979,1.12328193997568,0.0104832875069502,4.25709360055888
110,0.00235696714411715,1.10045220407644,0.00949254347934876,4.12672899097278
120,0.00326630188136255,1.0933192379868,0.00907792256780683,3.81542822561452
130,0.00289954997021938,1.08043098085638,0.00839123423211865,3.6231141503119
140,0.00272161060600674,1.08669923118848,0.00864928018666793,3.77627992512711
150,0.00298526891551961,1.0821111975055,0.00861137734030117,3.419526086449
160,0.00347831965937057,1.06679734087756,0.00770842328331509,3.42757946452176
170,0.00303751956182381,1.06912185086938,0.00794348174235232,3.32646504944635
180,0.00287408597271088,1.05674104654616,0.00707184768984364,3.22897612187831
190,0.0023762456954795,1.05949927346876,0.00728040772341194,3.23196668854785
200,0.00247708440703174,1.05113010646453,0.00663427540680117,3.18439540519645
210,0.00282703260875065,1.0498753687757,0.00658271686559527,3.08438306358933
220,0.00222500296746841,1.04958081245677,0.00655533671684339,3.07538364364964
230,0.00230666490269376,1.04156241353354,0.00599158249687912,3.0567692910741
240,0.00324572060149786,1.04140147087521,0.00604713170809277,3.0012576658215
250,0.002930934402816,1.04237648610368,0.00612133139693603,2.84726975184584
260,0.00251888819628916,1.03858521753926,0.00576263199274908,2.88955976331638
270,0.00294440043189057,1.03790174732746,0.00569328469652855,2.93322799966971
280,0.00287592673223337,1.03720445998849,0.00570411521150962,2.79748574053003
290,0.00267807654134991,1.03488915504439,0.00557848864139967,2.76833794918715
300,0.00268726336197922,1.03566493982526,0.00553427316041911,2.81278790900365
310,0.00273909138480575,1.0328697558793,0.00532262429895533,2.71538630173545
320,0.00275813017421832,1.03570576405983,0.00544233215829084,2.7863015712647
330,0.00263616669165991,1.02917321397818,0.00506341760355154,2.71345406242713
340,0.00261742540201169,1.03001033899732,0.0050345485731942,2.67790785351294
350,0.00273572352397589,1.03122900583849,0.00521370248904905,2.74852569664447
360,0.00288968739008312,1.029758767779,0.00508574718085136,2.70614152315376
370,0.00303560594953382,1.02596846974669,0.00472143970914161,2.62472412149082
380,0.00272261580842496,1.026045024702,0.00478063021829288,2.52718765748138
390,0.00272871336414691,1.02612953424058,0.00483617605032351,2.63054633119855
400,0.00308350180743889,1.02982889935076,0.00514638391065536,2.64977382331771
