"trial","rank","lambda","sketch","mult_prec","orth_prec","cov_error","transport_error","lambda_min_reg","condition_est","runtime","seed"
7,5,1e-04,"gaussian","double","double",0.823361821854266,25.6326959267059,9.9999999999832e-05,12651.0181768617,0.00699999999999967,327
8,5,1e-04,"gaussian","double","double",0.843254940511295,24.5955300189202,9.99999999998298e-05,16254.9323894756,0.00699999999999967,328
9,5,1e-04,"gaussian","double","double",0.91322992093857,22.9617020201885,9.99999999998994e-05,14232.4791980214,0.00600000000000023,329
10,5,1e-04,"gaussian","double","double",0.856940159253589,29.672734563488,9.99999999999004e-05,12349.7502924291,0.00699999999999967,330
1,5,1e-04,"gaussian","single","double",0.916848905521182,23.8331592355606,9.99999999997309e-05,19365.9025744692,0.00699999999999967,331
2,5,1e-04,"gaussian","single","double",0.810848598195159,26.7842077418766,9.9999999999874e-05,10828.6939657269,0.00600000000000023,332
3,5,1e-04,"gaussian","single","double",0.770182562701389,24.3832500652844,9.99999999998872e-05,11379.7645353294,0.00699999999999967,333
4,5,1e-04,"gaussian","single","double",0.946378961759982,26.0587468218697,9.9999999999696e-05,22580.0241381162,0.0080000000000009,334
5,5,1e-04,"gaussian","single","double",0.882566519830336,23.2085281889717,9.99999999996206e-05,17435.6802516384,0.00999999999999979,335
6,5,1e-04,"gaussian","single","double",0.8138208310385,21.9902855308951,9.99999999997094e-05,15476.0380642224,0.00699999999999967,336
7,5,1e-04,"gaussian","single","double",0.816575087111565,24.7626231780739,9.99999999998513e-05,15040.8170106073,0.00500000000000078,337
8,5,1e-04,"gaussian","single","double",0.890464240944169,29.8460584568523,9.99999999998354e-05,13745.0465813429,0.00899999999999856,338
9,5,1e-04,"gaussian","single","double",0.828365362449397,23.8464192520383,9.99999999996291e-05,17293.454620027,0.00699999999999967,339
10,5,1e-04,"gaussian","single","double",0.790381506784099,28.2929031051083,9.99999999998182e-05,14521.1679688625,0.00700000000000145,340
1,5,1e-06,"gaussian","double","double",0.872375828426737,240.661198588577,9.99999999677596e-07,1323783.1434281,0.00699999999999967,341
2,5,1e-06,"gaussian","double","double",0.792424567494037,249.958535243744,9.9999999986284e-07,1594561.60478678,0.00900000000000034,342
3,5,1e-06,"gaussian","double","double",0.749420688605534,293.624137991889,9.99999999868184e-07,1552213.79618105,0.00799999999999912,343
4,5,1e-06,"gaussian","double","double",0.866221478637014,234.976051914755,9.99999999627852e-07,1653812.39342698,0.00600000000000023,344
5,5,1e-06,"gaussian","double","double",0.913623659898731,235.828271071018,9.99999999840123e-07,1698091.96364961,0.00399999999999956,345
6,5,1e-06,"gaussian","double","double",0.902798049051652,284.780664144584,9.99999999893473e-07,1557505.96753386,0.00799999999999912,346
7,5,1e-06,"gaussian","double","double",0.86603430267713,269.815684628573,9.99999999568502e-07,1540268.77119458,0.00600000000000023,347
8,5,1e-06,"gaussian","double","double",0.742972166369851,267.720502129052,9.99999999840524e-07,1321952.56792839,0.00600000000000023,348
9,5,1e-06,"gaussian","double","double",0.839263129686551,227.241380976911,9.9999999987387e-07,1332490.87859751,0.00699999999999967,349
10,5,1e-06,"gaussian","double","double",0.825344945271082,270.760772695596,9.99999999806947e-07,1081722.78187584,0.00699999999999967,350
1,5,1e-06,"gaussian","single","double",0.83723761656138,283.304295008979,9.99999999855793e-07,1182872.35700276,0.00500000000000078,351
2,5,1e-06,"gaussian","single","double",0.932619716772225,239.558154466988,9.99999999682647e-07,1917218.02194399,0.00699999999999967,352
3,5,1e-06,"gaussian","single","double",0.85182727062863,268.811611059044,9.99999999716913e-07,1418148.24042449,0.00699999999999967,353
4,5,1e-06,"gaussian","single","double",0.7831385088173,249.562451700301,9.99999999865927e-07,1320500.715255,0.00600000000000023,354
5,5,1e-06,"gaussian","single","double",0.953126437317284,240.736631075104,9.99999999761231e-07,2193004.25749734,0.00999999999999979,355
6,5,1e-06,"gaussian","single","double",0.907239646845615,279.995427945819,9.99999999722217e-07,2208472.65234967,0.00799999999999912,356
7,5,1e-06,"gaussian","single","double",0.816586787000701,291.810953883245,9.99999999880647e-07,1048763.66713177,0.00500000000000078,357
8,5,1e-06,"gaussian","single","double",0.707834468288124,267.755868920611,9.99999999779417e-07,1219686.98136391,0.00699999999999967,358
9,5,1e-06,"gaussian","single","double",0.851235449087574,221.219050582449,9.99999999725137e-07,1515827.55030768,0.00399999999999956,359
10,5,1e-06,"gaussian","single","double",0.873543337456346,253.23915212892,9.99999999649244e-07,1459314.55939912,0.00799999999999912,360
1,10,0.01,"gaussian","double","double",0.785136327350759,2.00882877782614,0.00999999999999969,308.250866050508,0.00900000000000034,361
2,10,0.01,"gaussian","double","double",0.698597105582538,2.00507860157702,0.00999999999999983,175.778290220521,0.00900000000000034,362
3,10,0.01,"gaussian","double","double",0.925247687605623,2.04100927964161,0.00999999999999974,311.684614678938,0.00700000000000145,363
4,10,0.01,"gaussian","double","double",0.756549749608689,2.27038415502567,0.0099999999999999,202.081317989874,0.00600000000000023,364
5,10,0.01,"gaussian","double","double",0.705945665675541,2.07374332996954,0.00999999999999966,231.402490612188,0.00600000000000023,365
6,10,0.01,"gaussian","double","double",0.723000488488762,1.98679697590506,0.00999999999999969,229.143652951936,0.00499999999999901,366
7,10,0.01,"gaussian","double","double",0.755447860785514,1.9291477381977,0.00999999999999979,249.61488949634,0.00700000000000145,367
8,10,0.01,"gaussian","double","double",0.76116945530437,2.19104815760079,0.00999999999999976,227.99955503873,0.00500000000000078,368
9,10,0.01,"gaussian","double","double",0.688756220226453,2.2797966680689,0.00999999999999988,173.373483606803,0.00699999999999967,369
10,10,0.01,"gaussian","double","double",0.739674375913489,2.15821931854987,0.00999999999999984,179.666040182163,0.00499999999999901,370
1,10,0.01,"gaussian","single","double",0.725792781354537,2.26645134068617,0.0099999999999998,200.573716905133,0.011000000000001,371
2,10,0.01,"gaussian","single","double",0.752111722718889,2.3262222085692,0.00999999999999983,175.033037911713,0.0080000000000009,372
3,10,0.01,"gaussian","single","double",0.813285678783882,1.96786530343196,0.00999999999999981,241.712573027314,0.00600000000000023,373
4,10,0.01,"gaussian","single","double",0.782307327097401,2.27585394139203,0.00999999999999985,189.780858478957,0.0080000000000009,374
5,10,0.01,"gaussian","single","double",0.851600925666862,2.10609645009715,0.00999999999999983,223.02974475495,0.027000000000001,375
6,10,0.01,"gaussian","single","double",0.721517338893175,2.12759393726334,0.00999999999999974,265.640576085547,0.0220000000000002,376
7,10,0.01,"gaussian","single","double",0.635677710083935,2.21595328208828,0.0099999999999998,172.718345776064,0.0169999999999995,377
8,10,0.01,"gaussian","single","double",0.676489122817821,2.11228188415973,0.00999999999999988,189.751023773811,0.0139999999999993,378
9,10,0.01,"gaussian","single","double",0.619285747735091,1.68525396946002,0.00999999999999976,169.435840653872,0.0119999999999987,379
10,10,0.01,"gaussian","single","double",0.75627776540335,2.03503663616812,0.00999999999999966,212.087707338183,0.00999999999999979,380
1,10,1e-04,"gaussian","double","double",0.709198510773028,23.9850358186945,9.99999999997056e-05,20713.7468831879,0.0240000000000009,381
2,10,1e-04,"gaussian","double","double",0.746795659043471,21.5418578033718,9.99999999996627e-05,23180.173556861,0.0309999999999988,382
3,10,1e-04,"gaussian","double","double",0.914227751155611,25.5775389396073,9.99999999997769e-05,26818.7228281556,0.0789999999999988,383
4,10,1e-04,"gaussian","double","double",0.846561058317705,21.43449880961,9.99999999997839e-05,33014.9221269583,0.0519999999999996,384
5,10,1e-04,"gaussian","double","double",0.711418507638808,21.5284809514463,9.99999999997693e-05,21679.9605862564,0.0180000000000007,385
6,10,1e-04,"gaussian","double","double",0.82834583535991,23.8315087724495,9.99999999997391e-05,19596.4048784539,0.0180000000000007,386
7,10,1e-04,"gaussian","double","double",0.641993627606576,20.9443647883584,9.99999999998395e-05,24978.5046555853,0.00699999999999967,387
8,10,1e-04,"gaussian","double","double",0.767642794793023,25.4817871669913,9.99999999998355e-05,19547.9325427938,0.0109999999999992,388
9,10,1e-04,"gaussian","double","double",0.681324670489549,24.613446018753,9.9999999999842e-05,18347.4298417815,0.0220000000000002,389
10,10,1e-04,"gaussian","double","double",0.700632643354778,21.8648308911163,9.99999999997975e-05,27416.1656117796,0.0080000000000009,390
1,10,1e-04,"gaussian","single","double",0.680917548166751,21.354994378471,9.99999999998582e-05,19076.1520649195,0.0440000000000005,391
2,10,1e-04,"gaussian","single","double",0.650650049732457,22.6229520222295,9.99999999998228e-05,21755.0880558278,0.0310000000000006,392
3,10,1e-04,"gaussian","single","double",0.613083947215388,22.1462099064699,9.99999999998179e-05,17967.8031169501,0.020999999999999,393
4,10,1e-04,"gaussian","single","double",0.673628182938896,23.4605618822211,9.9999999999837e-05,17930.2408999521,0.00999999999999979,394
5,10,1e-04,"gaussian","single","double",0.623307294569773,24.668644183366,9.99999999998191e-05,14430.1141133382,0.0109999999999992,395
6,10,1e-04,"gaussian","single","double",0.707063804102288,23.4602824523097,9.99999999998214e-05,25549.6353963006,0.011000000000001,396
7,10,1e-04,"gaussian","single","double",0.737441949580089,24.6851614477961,9.99999999996632e-05,23125.2107274402,0.00899999999999856,397
