"rank","lambda","sketch","mult_prec","n_trials","cov_error_mean","cov_error_sd","transport_error_mean","transport_error_sd","lambda_min_reg_mean","lambda_min_reg_sd","condition_est_mean","condition_est_sd","runtime_mean","runtime_sd","basis_mode"
10,0.01,"gaussian","double",20,0.72705407306718,0.0544028148894902,2.07548668167874,0.144855478590374,0.00999999999999976,8.91494737423177e-17,201.526355196606,32.1479878991519,0.0143,0.00849829704303036,"shared"
15,0.01,"gaussian","double",20,0.668042323194719,0.0641662798224464,1.66060675753445,0.0920792313736754,0.0099999999999998,8.81804046717111e-17,227.734367774064,39.5564052548876,0.1426,0.207369591233674,"shared"
20,0.01,"gaussian","double",20,0.681148052403105,0.0625278232846565,1.30159452306458,0.091917574730541,0.00999999999999987,4.00472239913487e-17,236.932553552531,27.283415534633,0.1587,0.322204756735772,"shared"
25,0.01,"gaussian","double",20,0.67367664378918,0.0551093236896503,1.10086649365141,0.0641846481257185,0.00999999999999991,4.78627515556895e-17,223.709011292792,40.1604997795256,0.0627500000000001,0.0999804586169875,"shared"
30,0.01,"gaussian","double",20,0.677699404547686,0.074719978249543,1.07321171926827,0.0990296195372735,0.0100437330247073,4.75768344163519e-05,204.080190777568,26.0407015515188,0.18965,0.36579736625336,"shared"
5,0.01,"gaussian","double",20,0.845246803958838,0.0689848321856803,2.32987521126908,0.17939176428682,0.00999999999999978,1.00493466272608e-16,144.780988402373,41.5691856294316,0.01355,0.0116233657594927,"shared"
