"cond_num","s","trial","solution_error","residual_norm","condition_number"
10,50,1,1.61211876242227e-15,1.56006397197426e-14,28.7319759730649
10,50,2,1.36764877142813e-15,1.36154536975449e-14,20.7015854422255
10,50,3,1.22124532708767e-15,1.19519501701654e-14,33.8216292906764
10,50,4,1.30987498214742e-15,1.18015409323755e-14,23.6942991546322
10,50,5,1.44755372248954e-15,1.57606095877458e-14,29.6218020855845
10,50,6,1.5720538491533e-15,1.37392902862255e-14,24.1371852578514
10,50,7,1.26925248862511e-15,1.19073764681741e-14,24.4823157079983
10,50,8,1.39044076298621e-15,1.55001098381105e-14,31.9111768645224
10,50,9,1.15697811066022e-15,1.51772565920685e-14,28.4949387943671
10,50,10,1.46406386162121e-15,1.01601070193412e-14,26.1813381988997
10,50,11,1.22048812209987e-15,9.90067098774115e-15,22.957508088139
10,50,12,1.2585248453106e-15,1.34043626427997e-14,21.4982182987969
10,50,13,1.6048388068682e-15,1.43158983698911e-14,21.1705855088481
10,50,14,1.58707536634761e-15,1.58359971183554e-14,32.8592083656715
10,50,15,8.88178419700125e-16,8.90324715129703e-15,22.0020032520856
10,50,16,1.11050054569551e-15,9.4484526055547e-15,26.1015806138513
10,50,17,1.67805353105605e-15,1.87740734903621e-14,28.7042905845299
10,50,18,1.23129689848616e-15,1.30809781881652e-14,21.1746061458036
10,50,19,7.84653608047342e-16,9.5932686365903e-15,25.9717800147713
10,50,20,8.91986647111522e-16,1.08768927086644e-14,24.4828091156683
10,100,1,1.14815527187492e-15,6.90931279582201e-15,21.0525761707578
10,100,2,1.13736916832048e-15,9.04635922329544e-15,15.9783831793447
10,100,3,1.50270234617343e-15,1.17409468131291e-14,16.919221804593
10,100,4,1.46826732666408e-15,1.26092227518279e-14,18.3198499726705
10,100,5,5.48409719202268e-16,8.29648001591236e-15,16.0544259755494
10,100,6,8.32297111852012e-16,7.51993002760614e-15,19.4473732286691
10,100,7,1.38399887481521e-15,8.6924042120236e-15,17.5809700988898
10,100,8,9.64361473486839e-16,9.33288452688069e-15,21.4575242807071
10,100,9,1.26852394030796e-15,8.96809020274755e-15,20.8712264035928
10,100,10,1.55153419430204e-15,1.21227401546284e-14,14.5545861178887
10,100,11,9.86163061931331e-16,9.15778645539301e-15,18.8246895628605
10,100,12,1.00657499727702e-15,9.18310112782838e-15,16.1490852715115
10,100,13,8.26724874830885e-16,9.98196246061253e-15,20.867052843677
10,100,14,5.43329128499177e-16,7.7987642097324e-15,19.9024974736148
10,100,15,1.00810451494587e-15,1.05519930935742e-14,19.3049138118571
10,100,16,1.14034551713516e-15,1.1585561355126e-14,18.4190664162058
10,100,17,9.35161092618462e-16,7.08905058451816e-15,19.2482273684238
10,100,18,1.4878645486994e-15,1.2198607059337e-14,14.4702574852586
10,100,19,7.47238656305164e-16,7.58509659890161e-15,19.1095205443526
10,100,20,9.52465243987497e-16,1.07663999453787e-14,16.5579276568776
10,200,1,8.82260645344416e-16,6.28550426888627e-15,15.5017405279382
10,200,2,9.54727251145368e-16,8.31140468502622e-15,16.6862906869394
10,200,3,1.05850319056993e-15,7.62821487333223e-15,21.7840594436619
10,200,4,1.10354158165197e-15,5.97786414584067e-15,16.2941644803399
10,200,5,8.74895192064319e-16,9.10870376207388e-15,14.871576977455
10,200,6,6.1814601913013e-16,9.02757297105412e-15,17.7532933597783
10,200,7,9.00923923404499e-16,7.97585635423161e-15,16.0586687213186
10,200,8,1.13166531086701e-15,7.59405749365852e-15,15.8984250205581
10,200,9,9.5891396519617e-16,7.17824130636206e-15,16.8268617574437
10,200,10,1.23803557579786e-15,9.41574920704548e-15,17.3153335578542
10,200,11,1.02688127996906e-15,9.42362083997947e-15,11.5072639382675
10,200,12,7.61130558624261e-16,8.59401549052113e-15,18.0501689400622
10,200,13,5.8747480459522e-16,7.5832682283742e-15,19.7202208072545
10,200,14,5.91135119164494e-16,6.81532210785075e-15,14.9259750342663
10,200,15,7.88961696171591e-16,8.4062200976869e-15,18.3327035603264
10,200,16,9.06719898678761e-16,7.76955668871354e-15,18.5973282181528
10,200,17,8.92332043696436e-16,7.38181240866865e-15,15.1648134982659
10,200,18,1.05120005940431e-15,8.24697976486421e-15,16.5214536584632
10,200,19,9.69142670239406e-16,6.39752471149288e-15,17.0525592607962
10,200,20,6.53524463556884e-16,6.84695509794534e-15,19.4605516407059
100,50,1,8.43258056793339e-15,1.16708165720213e-13,265.50908035608
100,50,2,7.44031679593581e-15,1.20187834377651e-13,211.298310755376
100,50,3,6.11283393415898e-15,8.89715615716221e-14,200.672233735807
100,50,4,5.85251832343539e-15,9.23963894080534e-14,140.882879148732
100,50,5,9.7536741784481e-15,1.04048289980438e-13,210.114974652409
100,50,6,6.83549448812649e-15,1.02746582375757e-13,268.69685046095
100,50,7,5.29850957931898e-15,1.13668093031247e-13,195.192659427271
100,50,8,9.1540901216169e-15,1.03542092062115e-13,131.856610344128
100,50,9,4.17826059635948e-15,9.34618554987567e-14,148.209422222403
100,50,10,5.66583696040025e-15,6.97199065679712e-14,165.071293617546
100,50,11,6.23101236426973e-15,1.11929767693193e-13,204.656396751718
100,50,12,1.03002134046455e-14,1.34435768685036e-13,263.4644598784
100,50,13,4.46821666613156e-15,6.40468071567636e-14,200.439256646404
100,50,14,1.42014624205919e-14,1.62705295979457e-13,170.391964541348
100,50,15,8.21249914496602e-15,1.0708354308567e-13,224.208660849008
100,50,16,6.94515273905273e-15,9.68422699910245e-14,210.87443289257
100,50,17,7.33843982264353e-15,7.23189299117927e-14,215.145309043306
100,50,18,5.36037705530993e-15,1.18650329881587e-13,241.117187383976
100,50,19,6.7423543557518e-15,8.05809706889473e-14,256.110238859806
100,50,20,8.34016945963599e-15,9.82297858552425e-14,240.87965769083
100,100,1,4.36975376759651e-15,7.28494349288928e-14,191.666859142143
100,100,2,4.20157446020524e-15,8.58535005520077e-14,146.705865724728
100,100,3,3.26129785111314e-15,9.34901564230893e-14,139.57959778951
100,100,4,3.77794067002917e-15,7.8427748895831e-14,168.609952938534
100,100,5,5.22872613971586e-15,6.31004561554524e-14,152.112249959363
100,100,6,5.66034119166283e-15,7.4503410189262e-14,225.324231678688
100,100,7,3.16968187442971e-15,7.63651475014542e-14,158.544136705323
100,100,8,4.72934158772069e-15,8.11040526384399e-14,153.14040328248
100,100,9,2.44148115189863e-15,8.91399857152037e-14,162.538149334643
100,100,10,3.6190546026549e-15,9.87648062833487e-14,178.298087614091
100,100,11,3.69905919391557e-15,6.83543137487259e-14,207.817602744639
100,100,12,3.90760654322876e-15,8.84894589096995e-14,160.849446571518
100,100,13,3.29560499623053e-15,5.40939008153884e-14,213.755626824936
100,100,14,2.51410978341904e-15,5.8398469832167e-14,159.039668594188
100,100,15,3.9919427078863e-15,5.51137398748539e-14,177.397681968731
100,100,16,5.83099659686128e-15,8.81622644297684e-14,258.867451492593
100,100,17,6.31896384333773e-15,9.97651994386241e-14,194.651868369979
100,100,18,3.24149000908449e-15,5.98382402556667e-14,169.708270017044
100,100,19,3.5832867353362e-15,6.79695455394391e-14,138.872119664205
100,100,20,3.42175707301234e-15,1.00616071008289e-13,173.0016342502
100,200,1,2.84518342857687e-15,6.51520502883241e-14,182.073621092099
100,200,2,2.92117379202187e-15,5.54571681437175e-14,159.957254181092
100,200,3,3.83300379104419e-15,1.06909764772309e-13,204.37387856003
100,200,4,5.09699992939218e-15,1.00279999725841e-13,184.339911710892
100,200,5,3.37094865292781e-15,6.16579726518373e-14,176.898581705942
100,200,6,3.03346982841212e-15,4.68336828639389e-14,200.520513131654
100,200,7,4.17353789557843e-15,6.8768167704459e-14,198.566820592494
100,200,8,2.02048389860418e-15,5.40640996324747e-14,179.214257299391
100,200,9,1.98385391598127e-15,7.0204336485899e-14,149.08489287329
100,200,10,3.2046814053578e-15,4.77576922988136e-14,172.410339500149
100,200,11,3.52065007822208e-15,5.00741662001095e-14,167.986328302479
100,200,12,2.26482775872321e-15,5.21560278988592e-14,195.592001805451
100,200,13,4.56016589815815e-15,7.69488682491867e-14,194.82207835033
100,200,14,3.77508480578693e-15,5.69325787751472e-14,141.240575454791
100,200,15,3.33529179514787e-15,6.99531476206892e-14,171.893038742506
100,200,16,2.85718003875728e-15,5.70840631501438e-14,166.358066979365
100,200,17,3.05190192500476e-15,5.81380930825798e-14,155.296638677841
100,200,18,3.2565700966761e-15,5.68048352738381e-14,178.182795433689
100,200,19,3.9381631068509e-15,8.11476773057026e-14,194.216286498227
100,200,20,3.49887627287656e-15,6.32650827227268e-14,157.813741628149
1000,50,1,5.53917181840648e-14,6.80099861851506e-13,2951.67028162644
1000,50,2,2.80705571795491e-14,7.6663461922528e-13,1757.92159538878
1000,50,3,2.53359972887008e-14,5.35430212909685e-13,2563.44637887792
1000,50,4,2.7597049349151e-14,3.27398953380711e-13,2177.42906493999
1000,50,5,2.48773705776725e-14,5.27171911416791e-13,1941.06683021149
1000,50,6,2.5225442306181e-14,3.9704586757388e-13,2251.65137030773
1000,50,7,1.56142122995166e-14,5.69373502539134e-13,2721.56743626545
1000,50,8,1.39617994457444e-14,4.14852597379182e-13,1667.84656601932
1000,50,9,1.5462680747812e-14,5.11036707434438e-13,2125.04315534914
1000,50,10,3.48799847406234e-14,6.0239093046817e-13,1456.53685300088
1000,50,11,1.81310501416855e-14,5.27141000464473e-13,1598.65801012958
1000,50,12,4.04731114590828e-14,5.70742236193913e-13,1750.08807964659
1000,50,13,2.26920596725065e-14,6.18564501910722e-13,1666.6640412314
1000,50,14,4.04877118388037e-14,5.88396081965446e-13,2645.51155424167
1000,50,15,2.97856409229051e-14,5.51448525122257e-13,2141.61426956795
1000,50,16,3.95490442624874e-14,5.28065767978236e-13,2071.89699984258
1000,50,17,3.33870018158861e-14,5.50620702682549e-13,2740.40678689818
1000,50,18,4.88526579471694e-14,6.23872045010856e-13,3014.43872591191
1000,50,19,2.7594581551707e-14,4.21359462148661e-13,2062.07987747532
1000,50,20,4.40589108311799e-14,6.2113671282431e-13,2615.54870167958
1000,100,1,2.81387005713436e-14,4.40463743695555e-13,2191.45000475154
1000,100,2,4.1075738829439e-14,3.7484628192164e-13,1661.2414328973
1000,100,3,1.96118941123188e-14,3.58729054220672e-13,1885.45001229414
1000,100,4,1.45642050674858e-14,3.88385149134165e-13,2269.96404474136
1000,100,5,2.91643142141262e-14,5.50336914989673e-13,1850.16749951445
1000,100,6,1.48284198443776e-14,3.30629188644776e-13,1830.09698533648
1000,100,7,1.98136710345129e-14,4.72383602119321e-13,2416.95957312787
1000,100,8,1.17034569700433e-14,4.01174139462938e-13,1597.60168782679
1000,100,9,9.6580788958938e-15,5.60802256319278e-13,1835.90063275499
1000,100,10,1.26278535512647e-14,4.49069774370978e-13,1684.38150205981
1000,100,11,2.47551106009338e-14,3.83002421263021e-13,2457.78304611825
1000,100,12,1.6798173331808e-14,4.03844628603596e-13,1526.23276011962
1000,100,13,2.09535735962822e-14,3.78422445357549e-13,1937.60478271805
1000,100,14,2.40310844790248e-14,5.43225715978623e-13,2079.93637000144
1000,100,15,1.38980235225622e-14,5.43264015846106e-13,1772.95163323358
1000,100,16,2.10982397343653e-14,5.04513341515556e-13,2704.16385159546
1000,100,17,2.39266456233935e-14,3.97236060574622e-13,1828.41500654413
1000,100,18,1.78040800333968e-14,4.09666699802319e-13,2326.69080101136
