"trial","rank","lambda","basis_mode","pearson_error","spearman_error","quantile_error","covariance_error_x","covariance_error_y","runtime","transport_error_proxy"
11,20,0.01,"independent",1.50825674695963,1.47136018229255,3.00239674942847e-17,7.50080554919553,6.87064880773322,0.0750000000000011,1.21675814821234
12,20,0.01,"independent",1.51893561367675,1.5032428716597,3.00239674942847e-17,6.69404267760996,7.60455823325817,0.0750000000000011,1.21675814821234
13,20,0.01,"independent",1.50782594523907,1.48909615169313,3.00239674942847e-17,6.06377553679989,6.20572097313525,0.0630000000000006,1.21675814821234
14,20,0.01,"independent",1.53951330258098,1.50566038901296,3.00239674942847e-17,6.10418567701957,7.55312215049544,0.0640000000000001,1.21675814821234
15,20,0.01,"independent",1.65988035274121,1.63527913408982,3.00239674942847e-17,9.00829791314236,7.30347901161361,0.0800000000000001,1.21675814821234
16,20,0.01,"independent",1.56853478974659,1.5377818148362,3.00239674942847e-17,7.94329273218722,6.01130011326268,0.0749999999999993,1.21675814821234
17,20,0.01,"independent",1.58016086650914,1.54591489163503,3.00239674942847e-17,7.63374574967956,6.54743222600305,0.0709999999999997,1.21675814821234
18,20,0.01,"independent",1.49715522977725,1.45946510850835,3.00239674942847e-17,6.73335446025918,7.04214400417458,0.0709999999999997,1.21675814821234
19,20,0.01,"independent",1.57822396239711,1.5418211595528,3.00239674942847e-17,7.56294621301054,8.09969933768614,0.0699999999999985,1.21675814821234
20,20,0.01,"independent",1.58529745747631,1.54148291548695,3.00239674942847e-17,7.02169471102938,8.17920187942114,0.0709999999999997,1.21675814821234
