"rank","lambda","basis_mode","pearson_error","spearman_error","quantile_error","covariance_error_x","covariance_error_y","runtime","transport_error_proxy"
10,1e-06,"independent",1.53735204382928,1.50408314234387,3.00239674942847e-17,11.6892747373363,11.4958780710242,0.0725,220.284253430341
20,1e-06,"independent",1.63036003981877,1.59250738703443,3.00239674942847e-17,7.31387880492294,7.36251334205971,0.0756000000000002,142.167261762421
10,0.01,"independent",1.48975845369155,1.4632254426517,3.00239674942847e-17,10.9172845938546,11.1047125156609,0.0758,2.06266356305451
20,0.01,"independent",1.55564753730003,1.52665613754724,3.00239674942847e-17,7.38920146624348,7.1998042518737,0.0723999999999999,1.21675814821234
10,1e-06,"shared",1.52892071409757,1.49253946880775,3.00239674942847e-17,11.2852184244896,11.3081436811771,0.07565,220.284253430341
20,1e-06,"shared",1.62487770889364,1.587089810366,3.00239674942847e-17,7.12814784484498,7.2160245780344,0.0743,142.167261762421
10,0.01,"shared",1.50936102095213,1.47856194855409,3.00239674942847e-17,11.5570971679748,11.674408734195,0.07295,2.06266356305451
20,0.01,"shared",1.57878684528214,1.54525719509877,3.00239674942847e-17,7.16035491679871,7.16045118086982,0.0858500000000001,1.21675814821234
